sens_start,location,type,place,obs,activity
2011-12-05 01:35:10,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-05 11:53:01,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-05 11:57:47,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-05 12:01:23,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-05 12:14:49,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-05 12:14:58,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-05 12:15:45,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-05 12:15:55,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-05 12:16:02,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-05 14:28:36,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-05 14:38:07,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-05 14:55:00,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-05 14:57:51,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-05 15:00:10,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-05 15:00:55,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-05 15:00:58,Microwave,Electric,Kitchen,Microwave|Kitchen,Lunch
2011-12-05 15:11:41,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-05 15:15:04,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-05 15:18:33,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-05 15:33:05,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-05 15:33:55,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-05 15:42:25,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-05 15:44:56,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-05 16:37:15,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-05 17:17:07,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-05 18:57:11,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-05 19:01:42,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-05 19:24:11,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-12-05 19:24:22,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-05 20:07:32,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-05 20:20:20,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-05 21:06:35,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-12-05 21:06:44,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-05 21:07:14,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-06 00:39:56,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-06 00:40:35,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-12-06 00:42:37,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-06 11:09:49,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-06 11:10:06,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-06 11:10:08,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-06 11:12:19,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-06 11:30:19,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-06 11:30:22,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-06 11:30:52,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-06 11:31:34,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-06 11:39:34,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-06 14:40:53,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-06 14:41:16,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-06 14:41:22,Microwave,Electric,Kitchen,Microwave|Kitchen,Lunch
2011-12-06 14:48:47,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-06 14:52:17,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-06 14:56:50,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-06 15:18:35,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-06 15:21:46,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-06 17:18:22,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-06 17:19:34,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-06 18:07:03,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-06 18:07:36,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-06 19:22:50,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-12-06 19:25:56,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-06 19:40:28,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 00:07:47,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-07 00:08:10,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 00:57:29,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-07 00:59:56,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-07 10:50:38,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-07 10:50:45,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-07 11:05:51,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-07 11:12:17,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-07 11:12:35,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-07 11:12:59,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-07 11:13:20,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-07 11:22:58,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 14:03:34,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-07 14:04:32,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-07 14:04:39,Microwave,Electric,Kitchen,Microwave|Kitchen,Lunch
2011-12-07 14:13:16,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-07 14:14:59,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-07 14:27:30,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-07 14:27:39,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-07 14:41:59,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 15:31:23,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-07 15:32:15,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 16:15:26,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-07 16:25:45,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-07 18:12:30,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-07 18:14:56,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-07 18:15:51,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 19:23:55,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-12-07 19:24:02,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Snack
2011-12-07 19:28:41,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-12-07 20:37:50,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Snack
2011-12-07 20:38:13,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Snack
2011-12-07 20:39:16,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-07 20:40:29,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 20:52:23,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-07 23:19:40,Basin,PIR,Bathroom,Basin|Bathroom,Toileting
2011-12-07 23:20:16,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-08 01:39:41,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-08 11:17:37,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-08 11:18:02,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-08 11:18:10,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-08 11:19:22,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-08 11:25:12,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-08 11:25:18,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-08 11:26:05,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-08 11:26:31,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Breakfast
2011-12-08 11:26:35,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-08 11:36:09,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-08 14:04:49,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-08 14:10:03,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-08 16:21:37,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-08 16:24:27,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-08 22:13:35,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-08 22:14:14,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-08 23:14:09,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-08 23:14:35,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 01:04:24,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 01:16:42,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-09 10:51:56,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-09 10:52:30,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-09 10:52:40,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 10:54:58,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-09 11:00:13,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-09 11:00:38,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-09 11:00:58,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-09 11:01:26,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Breakfast
2011-12-09 11:01:31,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-09 11:09:35,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 12:33:21,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 12:44:16,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 16:33:52,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 16:45:53,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 17:06:38,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 17:59:25,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 18:02:18,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 18:32:02,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 18:48:30,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-09 19:19:54,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-09 21:04:37,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-09 21:04:59,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 00:16:31,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 00:17:05,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 00:50:47,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-10 09:37:16,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-10 09:37:26,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 09:46:00,Cabinet,Magnetic,Bathroom,Cabinet|Bathroom,Grooming
2011-12-10 09:46:23,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 09:47:44,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-10 09:55:18,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-10 09:55:50,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-10 09:56:27,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-10 09:56:33,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-10 09:56:58,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-10 09:58:21,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Breakfast
2011-12-10 10:03:20,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 12:52:54,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 13:04:03,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-10 17:06:58,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-10 17:11:23,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-10 20:21:54,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-10 20:25:40,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-11 00:56:01,Maindoor,Magnetic,Entrance,Maindoor|Entrance,Leaving
2011-12-11 01:01:41,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-11 02:31:15,Bed,Pressure,Bedroom,Bed|Bedroom,Sleeping
2011-12-11 12:02:25,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-11 12:02:56,Shower,PIR,Bathroom,Shower|Bathroom,Showering
2011-12-11 12:21:57,Toaster,Electric,Kitchen,Toaster|Kitchen,Breakfast
2011-12-11 12:22:01,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Breakfast
2011-12-11 12:22:07,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Breakfast
2011-12-11 12:23:14,Microwave,Electric,Kitchen,Microwave|Kitchen,Breakfast
2011-12-11 12:32:49,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
2011-12-11 14:34:12,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:36:58,Cooktop,PIR,Kitchen,Cooktop|Kitchen,Lunch
2011-12-11 14:37:04,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:43:05,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 14:49:47,Cupboard,Magnetic,Kitchen,Cupboard|Kitchen,Lunch
2011-12-11 15:13:52,Fridge,Magnetic,Kitchen,Fridge|Kitchen,Lunch
2011-12-11 15:29:03,Toilet,Flush,Bathroom,Toilet|Bathroom,Toileting
2011-12-11 15:41:34,Basin,PIR,Bathroom,Basin|Bathroom,Grooming
2011-12-11 15:43:51,Seat,Pressure,Living,Seat|Living,Spare_Time/TV
